bssid,ssid,capabilities,frequency
b4:5d:50:e1:92:22,eduroam,[WPA2-EAP-CCMP][ESS],2462
b4:5d:50:e1:96:52,eduroam,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:19:71:91,csu-eid,[WPA2-EAP-CCMP][ESS],5745
20:a6:cd:42:0b:e3,engr_labs,[WPA2-PSK-CCMP][ESS],2462
b4:5d:50:e1:92:31,csu-guest,[ESS],5220
b4:5d:50:e1:92:32,eduroam,[WPA2-EAP-CCMP][ESS],5220
b4:5d:50:e1:92:30,csu-eid,[WPA2-EAP-CCMP][ESS],5220
b4:5d:50:e1:96:50,csu-guest,[ESS],5180
38:17:c3:1f:09:93,engr_labs,[WPA2-PSK-CCMP][ESS],5765
38:17:c3:1f:09:90,csu-guest,[ESS],5765
38:17:c3:1f:22:32,eduroam,[WPA2-EAP-CCMP][ESS],5805
38:17:c3:1f:22:31,csu-eid,[WPA2-EAP-CCMP][ESS],5805
00:4e:35:de:e1:11,eduroam,[WPA2-EAP-CCMP][ESS],5765
00:4e:35:de:e1:10,csu-eid,[WPA2-EAP-CCMP][ESS],5765
a8:bd:27:4c:bd:31,csu-eid,[WPA2-EAP-CCMP][ESS],5180
a8:bd:27:4c:bd:32,eduroam,[WPA2-EAP-CCMP][ESS],5180
a8:bd:27:4c:bd:20,csu-guest,[ESS],2437
00:4e:35:de:e1:00,csu-eid,[WPA2-EAP-CCMP][ESS],2412
00:4e:35:de:e1:01,eduroam,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:08:52,eduroam,[WPA2-EAP-CCMP][ESS],5745
38:17:c3:1f:08:51,csu-eid,[WPA2-EAP-CCMP][ESS],5745
00:4e:35:de:d7:52,csu-guest,[ESS],5825
a8:bd:27:4c:bd:30,csu-guest,[ESS],5180
00:4e:35:de:d7:53,engr_labs,[WPA2-PSK-CCMP][ESS],5825
00:4e:35:de:d7:50,csu-eid,[WPA2-EAP-CCMP][ESS],5825
00:4e:35:de:d7:51,eduroam,[WPA2-EAP-CCMP][ESS],5825
38:17:c3:1f:08:40,csu-guest,[ESS],2412
00:4e:35:df:0e:12,csu-guest,[ESS],5805
38:17:c3:19:71:82,eduroam,[WPA2-EAP-CCMP][ESS],2437
00:4e:35:de:d7:42,csu-guest,[ESS],2437
38:17:c3:1f:08:42,eduroam,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:22:21,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:19:71:81,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:19:71:80,csu-guest,[ESS],2437
38:17:c3:1f:22:20,csu-guest,[ESS],2437
a8:bd:27:4c:bd:21,csu-eid,[WPA2-EAP-CCMP][ESS],2437
a8:bd:27:4c:bd:22,eduroam,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1f:22:22,eduroam,[WPA2-EAP-CCMP][ESS],2437
