bssid,ssid,capabilities,frequency
38:17:c3:19:71:92,eduroam,[WPA2-EAP-CCMP][ESS],5745
38:17:c3:19:36:32,eduroam,[WPA2-EAP-CCMP][ESS],5745
38:17:c3:19:71:91,csu-eid,[WPA2-EAP-CCMP][ESS],5745
38:17:c3:19:36:31,csu-eid,[WPA2-EAP-CCMP][ESS],5745
ea:9e:b4:53:24:54,DIRECT-54-HP M227f LaserJet,[WPA2-PSK-CCMP][WPS][ESS],2437
20:a6:cd:50:24:a2,eduroam,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:19:71:90,csu-guest,[ESS],5745
20:a6:cd:50:24:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:19:71:81,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:19:71:80,csu-guest,[ESS],2437
38:17:c3:19:71:82,eduroam,[WPA2-EAP-CCMP][ESS],2437
20:a6:cd:50:24:a0,csu-guest,[ESS],2437
80:8d:b7:55:39:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5240
38:17:c3:1e:ff:11,csu-eid,[WPA2-EAP-CCMP][ESS],5825
38:17:c3:1f:22:30,csu-guest,[ESS],5805
38:17:c3:1e:ff:00,csu-guest,[ESS],2412
38:17:c3:1e:ff:02,eduroam,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:39:c1,csu-eid,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1e:ff:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:29:d0,csu-guest,[ESS],5180
80:8d:b7:55:39:c0,csu-guest,[ESS],2412
80:8d:b7:55:39:c2,eduroam,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:29:d2,eduroam,[WPA2-EAP-CCMP][ESS],5180
80:8d:b7:55:29:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5180
80:8d:b7:55:29:c1,csu-eid,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:29:c2,eduroam,[WPA2-EAP-CCMP][ESS],2412
80:8d:b7:55:29:c0,csu-guest,[ESS],2412
68:ff:7b:e4:af:38,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5745
00:4e:35:df:06:52,csu-guest,[ESS],5765
80:8d:b7:55:39:d2,eduroam,[WPA2-EAP-CCMP][ESS],5240
20:a6:cd:50:24:b0,csu-guest,[ESS],5240
00:4e:35:de:e1:12,csu-guest,[ESS],5765
20:a6:cd:50:24:b2,eduroam,[WPA2-EAP-CCMP][ESS],5240
20:a6:cd:50:24:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5240
00:4e:35:df:06:40,csu-eid,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:0e:10,csu-guest,[ESS],5180
38:17:c3:1f:22:31,csu-eid,[WPA2-EAP-CCMP][ESS],5805
38:17:c3:1f:22:32,eduroam,[WPA2-EAP-CCMP][ESS],5805
38:17:c3:1f:22:21,csu-eid,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1f:22:22,eduroam,[WPA2-EAP-CCMP][ESS],2437
38:17:c3:1f:0e:02,eduroam,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:22:20,csu-guest,[ESS],2437
38:17:c3:1f:0e:00,csu-guest,[ESS],2412
38:17:c3:1f:0e:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412
38:17:c3:1f:0e:12,eduroam,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:1f:0e:11,csu-eid,[WPA2-EAP-CCMP][ESS],5180
